id,Name,Description,StartDate,EndDate,Manager,Field,Status,Cost,Income
201,Director of Engineering Search,Headhunting for IT Director,2024-04-01,2024-08-01,Amanda Waller,Talent Acquisition,Active,30000,0
202,Supply Chain Routing AI,Logistics optimization,2024-06-15,,Steven Wong,Data Analysis,Suspended,55000,120000
203,,,2024-05-01,,Robert Jenkins,Management,Active,5000,0
204,Organic Lead Generation,,2024-02-01,2024-12-31,Lucas Pierce,SEO,Active,15000,60000
205,React Frontend Pivot,Rewriting legacy UI,2024-01-10,,Marcus Johnson,Development,Active,180000,350000
206,-Draft Data Architecture,Initial planning phase,2024-07-01,,Emily Chen,Data Analysis,Unknown,10000,0
207,Office Relocation,Moving HQ to new building,2024-09-01,,Robert Jenkins,,Active,500000,0
208,Old CRM Sunset,Deprecating Siebel,2020-05-01,,,,,0,0
209,Performance Review System,Custom internal app,2024-03-01,2024-08-01,Emily Chen,Development,Completed,40000,20000
210,Competitor Benchmarking Q2,Market research,2024-04-10,2024-05-10,Steven Wong,Data Analysis,Completed,8000,15000
211,Director of Engineering Search,Headhunting for IT Director,2024-04-01,2024-08-01,Amanda Waller,Talent Acquisition,Active,30000,0
212,Blog Content Revamp,Updating 100 top articles,2024-05-15,,Lucas Pierce,Content Strategy,Active,12000,30000
213,Applicant Tracking Update,Workday integration,2024-08-01,,Sarah OConnor,Talent Acquisition,Suspended,25000,50000
214,IT Helpdesk Automation,ServiceNow workflow,2024-02-15,2024-06-15,Marcus Johnson,Development,Completed,35000,80000
215,Leadership Retreat 2024,Offsite event planning,2024-10-01,2024-10-05,Amanda Waller,Management,Active,45000,0
